Time1,Time2,Mech Data,new_column
5.56,8.24,0.035638554,
5.57,8.26,0.035638554,0.035674699
5.58,8.27,0.035638554,0.035674699
5.59,8.29,0.035783133,
5.6,8.3,0.035783133,0.035674699
5.61,8.32,0.035783133,0.035674699
5.62,8.33,0.035783133,
5.63,8.34,0.035722892,0.035554217
5.64,8.36,0.035722892,0.035554217
5.65,8.37,0.035722892,
5.66,8.39,0.035722892,0.035554217
5.67,8.4,0.035987952,0.035554217
5.68,8.42,0.035987952,
5.69,8.43,0.035987952,0.035746988
5.7,8.45,0.035987952,0.035746988
5.71,8.46,0.035915663,
5.72,8.48,0.035915663,0.035746988
5.73,8.49,0.035915663,0.035746988
5.74,8.51,0.035915663,
5.75,8.52,0.035951807,0.035746988
5.76,8.54,0.035951807,
5.77,8.55,0.035951807,0.035746988
5.78,8.57,0.035951807,0.035746988
5.79,8.58,0.035891566,0.035746988
5.8,8.6,0.035891566,
5.81,8.62,0.035891566,0.035831325
5.82,8.63,0.035891566,0.035831325
5.83,8.64,0.035783133,
5.84,8.65,0.035783133,0.035831325
5.85,8.67,0.035783133,0.035831325
5.86,8.68,0.035783133,0.035746988
5.87,8.7,0.035638554,
5.88,8.71,0.035638554,0.035746988
5.89,8.73,0.035638554,0.035746988
5.9,8.74,0.035638554,
5.91,8.76,0.036060241,0.035746988
5.92,8.77,0.036060241,0.035566265
5.93,8.79,0.036060241,
5.94,8.8,0.036060241,0.035566265
5.95,8.82,0.037024096,0.035566265
5.96,8.83,0.037024096,
5.97,8.85,0.037024096,0.035566265
5.98,8.86,0.037024096,0.035855422
5.99,8.88,0.03873494,
6,8.89,0.03873494,0.035855422
6.01,8.91,0.03873494,0.035855422
6.02,8.92,0.03873494,
6.03,8.94,0.039819277,0.035855422
6.04,8.95,0.039819277,0.035650602
6.05,8.97,0.039819277,
6.06,8.98,0.039819277,0.035650602
6.07,8.99,0.041277108,0.035650602
6.08,9.01,0.041277108,
6.09,9.02,0.041277108,0.035650602
6.1,9.04,0.041277108,0.035746988
6.11,9.05,0.045240964,
6.12,9.07,0.045240964,0.035746988
6.13,9.08,0.045240964,0.035746988
6.14,9.1,0.045240964,0.035746988
6.15,9.11,0.050060241,
6.16,9.13,0.050060241,0.035710843
6.17,9.14,0.050060241,
6.18,9.16,0.050060241,0.035710843
6.19,9.17,0.05386747,0.035710843
6.2,9.19,0.05386747,0.035710843
6.21,9.2,0.05386747,
6.22,9.22,0.05386747,0.035650602
6.23,9.23,0.058108434,0.035650602
6.24,9.25,0.058108434,
6.25,9.26,0.058108434,0.035650602
6.26,9.28,0.058108434,0.035650602
6.27,9.29,0.061325301,
6.28,9.31,0.061325301,0.035421687
6.29,9.32,0.061325301,0.035421687
6.3,9.34,0.061325301,
6.31,9.35,0.062361446,0.035421687
6.32,9.37,0.062361446,0.035421687
6.33,9.38,0.062361446,
6.34,9.4,0.062361446,0.035650602
6.35,9.41,0.062060241,0.035650602
6.36,9.43,0.062060241,
6.37,9.44,0.062060241,0.035650602
6.38,9.46,0.062060241,0.035650602
6.39,9.47,0.061168675,
6.4,9.49,0.061168675,0.035590361
6.41,9.5,0.061168675,0.035590361
6.42,9.52,0.061168675,
6.43,9.53,0.059253012,0.035590361
6.44,9.55,0.059253012,0.035590361
6.45,9.56,0.059253012,
6.46,9.58,0.059253012,0.035722892
6.47,9.59,0.057385542,0.035722892
6.48,9.61,0.057385542,0.035722892
6.49,9.62,0.057385542,
6.5,9.64,0.057385542,0.035722892
6.51,9.65,0.054771084,0.035807229
6.52,9.67,0.054771084,
6.53,9.68,0.054771084,0.035807229
6.54,9.7,0.054771084,0.035807229
6.55,9.71,0.051493976,
6.56,9.73,0.051493976,0.035807229
6.57,9.74,0.051493976,0.035662651
6.58,9.76,0.051493976,
6.59,9.77,0.047626506,0.035662651
6.6,9.78,0.047626506,0.035662651
6.61,9.8,0.047626506,
6.62,9.82,0.047626506,0.035662651
6.63,9.83,0.043096386,0.035746988
6.64,9.85,0.043096386,
6.65,9.86,0.043096386,0.035746988
6.66,9.87,0.043096386,0.035746988
6.67,9.89,0.037698795,
6.68,9.9,0.037698795,0.035746988
6.69,9.92,0.037698795,0.035807229
6.7,9.93,0.037698795,
6.71,9.95,0.033710843,0.035807229
6.72,9.96,0.033710843,0.035807229
6.73,9.98,0.033710843,
6.74,9.99,0.033710843,0.035807229
6.75,10.01,0.03260241,0.035518072
6.76,10.02,0.03260241,0.035518072
6.77,10.04,0.03260241,
6.78,10.05,0.03260241,0.035518072
6.79,10.07,0.032228916,
6.8,10.08,0.032228916,0.035518072
6.81,10.1,0.032228916,0.035710843
6.82,10.11,0.032228916,0.035710843
6.83,10.13,0.032903614,
6.84,10.14,0.032903614,0.035710843
6.85,10.15,0.032903614,0.035710843
6.86,10.17,0.032903614,
6.87,10.18,0.033506024,0.035746988
6.88,10.2,0.033506024,0.035746988
6.89,10.21,0.033506024,
6.9,10.23,0.033506024,0.035746988
6.91,10.24,0.034385542,0.035746988
6.92,10.26,0.034385542,
6.93,10.27,0.034385542,0.035710843
6.94,10.29,0.034385542,0.035710843
6.95,10.3,0.036240964,
6.96,10.32,0.036240964,0.035710843
6.97,10.33,0.036240964,0.035710843
6.98,10.35,0.036240964,
6.99,10.36,0.03753012,0.035951807
7,10.38,0.03753012,0.035951807
7.01,10.39,0.03753012,
7.02,10.4,0.03753012,0.035951807
7.03,10.42,0.038409639,0.035951807
7.04,10.44,0.038409639,
7.05,10.45,0.038409639,0.035771084
7.06,10.46,0.038409639,0.035771084
7.07,10.48,0.039626506,
7.08,10.49,0.039626506,0.035771084
7.09,10.51,0.039626506,0.035771084
7.1,10.52,0.039626506,0.035590361
7.11,10.54,0.040325301,
7.12,10.55,0.040325301,0.035590361
7.13,10.57,0.040325301,0.035590361
7.14,10.58,0.040325301,
7.15,10.6,0.040277108,0.035590361
7.16,10.61,0.040277108,0.035903614
7.17,10.63,0.040277108,
7.18,10.64,0.040277108,0.035903614
7.19,10.66,0.040301205,0.035903614
7.2,10.67,0.040301205,
7.21,10.69,0.040301205,0.035903614
7.22,10.7,0.040301205,0.036048193
7.23,10.72,0.039566265,
7.24,10.73,0.039566265,0.036048193
7.25,10.74,0.039566265,0.036048193
7.26,10.76,0.039566265,
7.27,10.78,0.038120482,0.036048193
7.28,10.79,0.038120482,0.03573494
7.29,10.8,0.038120482,
7.3,10.82,0.038120482,0.03573494
7.31,10.84,0.036578313,0.03573494
7.32,10.85,0.036578313,
7.33,10.86,0.036578313,0.03573494
7.34,10.88,0.036578313,0.035855422
7.35,10.89,0.035,
7.36,10.91,0.035,0.035855422
7.37,10.92,0.035,0.035855422
7.38,10.94,0.035,0.035855422
7.39,10.96,0.033951807,
7.4,10.97,0.033951807,0.036024096
7.41,10.98,0.033951807,
7.42,11,0.033951807,0.036024096
7.43,11.01,0.032783133,0.036024096
7.44,11.03,0.032783133,0.036024096
7.45,11.04,0.032783133,
7.46,11.06,0.032783133,0.035927711
